codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
634;Dirección Nacional;6925;DIRECCION GENERAL DE GENDARMERIA DE CHIL;Región Metropolitana de Santiago;Santiago Centro;20
635;SERVICIO DE SALUD DE ARICA;6926;SERVICIO DE SALUD DE ARICA Y PARINACOTA;Región de Arica y Parinacota;Arica;12
636811;Servicios Generales;7280;SERVICIO DE SALUD DEL MAULE HOSPITAL DE MOLINA;Región del Maule;Molina;1
642;SERVIU VI REGION;6977;SERVICIO DE VIVIENDA Y URBANIZACION VI REGION;;;2
642028;Corporación Municipal de Melipilla;1244947;CORP MUNICIPAL MELIPILLA PARA LA ED SALUD;Región Metropolitana de Santiago;Melipilla;6
643;SERVIU V Región;6968;SERVICIO DE VIVIENDA Y URBANIZACION V REGION;Región de Valparaíso;Valparaíso;2
643553;Corporación Municipal de Desarrollo Social San Joaquín;1246426;CORP MUNICIPAL DE DESARROLLO SOCIAL DE SN JOAQUIN;Región Metropolitana de Santiago;San Joaquín;2
644;SEREMI MINVU X REGION;6951;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO;Región de los Lagos;Puerto Montt;2
646;SERVIU IV Región;6972;SERVICIO DE VIVIENDA Y URBANIZACION IV REGION;Región de Coquimbo;La Serena;2
647694;División de Personal - Pasajes y fletes;111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;Santiago;40
648752;Jefatura de Sanidad Militar - JESAM;111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;Conchalí;1
650;SERVIU II Región ;6974;SERVICIO DE VIVIENDA Y URBANIZACION II REGION;Región de Antofagasta;Antofagasta;1
651;SERVICIOS GENERALES;6975;SERVICIO DE VIVIENDA Y URBANIZACION III REGION;Región de Atacama;Copiapó;1
652;SERVICIO DE SALUD ARAUCO;6976;SERVICIO DE SALUD ARAUCO;Región del Biobío;Lebu;1
